Level ;Damage per Second ;Damage per Shot ;Hitpoints ;Cost  ;Build Time ;Experience Gained  ;Town Hall Level Required 
1;11;5.5 ;380;1,000;1 minute ;7;2
2;15;7.5 ;420;2,000;30 minutes ;42;2
3;19;9.5 ;460;5,000;45 minutes ;51;3
4;25;12.5 ;500;20,000;4 hours ;120;4
5;30;15;540;80,000;12 hours ;207;5
6;35;17.5 ;580;180,000;1 day ;293;5
7;42;21;630;360,000;2 days ;415;6
8;48;24;690;720,000;3 days ;509;7
9;56;28;750;1,500,000 ;4 days ;587;8
10;65;32.5 ;810;2,500,000 ;5 days ;657;8
11;75;37.5 ;890;4,500,000 ;6 days ;720;9
12;86;43;970;6,500,000 ;7 days ;777;10
13;98;49;1,050;7,500,000 ;8 days ;831;10
