Level ;Damage per Second ;Damage per Shot ;Hitpoints ;Cost  ;Build Time ;Experience Gained  ;Town Hall Level Required 
1;9;7.2 ;420;250;10 seconds ;10;1
2;11;8.8 ;470;1,000;15 minutes ;20;1
3;15;12;520;4,000;45 minutes ;30;2
4;19;15.2 ;570;16,000;2 hours ;40;3
5;25;20;620;50,000;6 hours ;50;4
6;31;24.8 ;670;100,000;12 hours ;60;5
7;40;32;730;200,000;1 day ;70;6
8;48;38.4 ;800;400,000;2 days ;80;7
9;56;44.8 ;880;800,000;3 days ;90;8
10;65;52;960;1,600,000 ;4 days ;100;8
11;75;60;1,060;3,200,000 ;5 days ;110;9
12;86;68.8 ;1,160;6,400,000 ;6 days ;120;10
13;98;78.4 ;1,260;7,500,000 ;7 days ;130;10
